results;Score;Label
dark jokes bangsat gabusa stop laugh;0,070597331;positive
tekon dark jokes blasphemy;0,022460938;positive
apasiai intention of dark jokes crispy hiyaa;0,062703451;positive
brother layout dark theme dark dark jokes;-0,047816685;negative
positive thinking can be funny dark mulu jokes;0,14440918;positive
ysryns funny dark jokes area;0,03046875;positive
nyindir dark jokes;0,01953125;positive
weve dark jokes really ask;0,10703125;positive
indo moral where forget indo moral moral dark jokes dark jokes dick;0,099187678;positive
dark jokes should not be;0,188110352;positive
samean flow dark jokes;0,014648438;positive
funny everywhere dark jokes;0,140930176;positive
sorry jbjb mkst dark jokes;-0,09609375;negative
adek use design of expert dark jokes clothes;0,100202288;positive
meme jokes kaori corpse of hyung bengk dark jokes;0,061035156;positive
funny funny me yesterday tiktok kids love really say dark jokes rigid life gada;0,066086989;positive
leak group fb shit post say residents twitter boomer only dark jokes matamuuu;0,020174893;positive
kid people are humorous objects donated mahram jalanah sin ko difficulty kid;-0,014559659;negative
kid people are humorous objects donated mahram jalanah sin ko;0,02734375;positive
dark jokes spa pulak bt clothes;0,106974284;positive
troy and always dark jokes;-0,010437012;negative
not jop gamau gamau play dark jokes;0,127634684;positive
dark jokes hands tend to be stupid empathy say funny;0,055084229;positive
dark jokes jirrr.;0,125406901;positive
joke smell sexual term dark joke smell sexual call blue jokes;0,100497159;positive
themenace original dark jokes according to taste;0,02327474;positive
understand when the childs screenman is talking about mlack mink aka dark jokes;0,067047119;positive
say dark jokes ethical limits ethical hanging attitude offense;0,072414822;positive
dark jokes the name of the friend bro;0,069775391;positive
dark jokes assyau;0,125406901;positive
my friend jokes my dark;0,061197917;positive
yeaa know ladont feel bad loves dark jokes;0,072492599;positive
mama ngutip thesis wikipedia blogspot even though valid journal thesis;0,066840278;positive
dark jokes naturally mending dilontarin is bnran invites canda dark jokes;0,062744141;positive
dark jokes dark jokes tai dogs are trash;0,087402344;positive
forgiveness please dark jokes;0,116210938;positive
dark joke protected bad trash good jokes;0,080070921;positive
dark jokes;0,188110352;positive
really wonder sexually sexually so dark jokes think of crazy lightly;0,147488064;positive
but the grgr is less dark jokes;-0,086242676;negative
when dark jokes consumptive with humans stngh mateng block;-0,019112723;negative
gin dark jokes definition;0,022460938;positive
please please use cartoons;0,158691406;positive
jokes jokes rich in dark jokes category;0,236251831;positive
jancokhaseyo tweet me where the dark jokes are expiritive;0,01171875;positive
choose a sentence over the dark jokes jokes category;0,134318034;positive
dark jokes think dirty to cartoon children dimisleading;-0,025992257;negative
heh dark jokes laugh;0,01953125;positive
laugh away dark jokes;0,125406901;positive
gneby dahal dark jokes;0,014648438;positive
dimassseno account account alter twitter yesterday proud dark jokes viral think funny mediamedia;0,030273438;positive
indonesia accept dark jokes;0,125406901;positive
dark jokes salah komika dark jokes happy results;0,206821987;positive
lost live content;-0,089396159;negative
dark jokes parahh;0,125406901;positive
dark jokes rich gin emotion;0,174127197;positive
dark jokes but a resident of twittard tiktod goblo;0,062703451;positive
your tragedy is a candy of the embel dark jokes save your jokes dispose of waste;0,045084635;positive
disposable dark embuel dark jokes sorry funny;-0,063616071;negative
dispose of dark jokes place;0,094058514;positive
sosoan dark jokes liat fun lost polite;0,015363421;positive
watch together the characters of the character the brain has planted gwliat lenceng gin;0,036187066;positive
think when i read dark dark jokes;0,001049805;positive
wonder like the nature of empathy disappeared;0,10546875;positive
jokes dark jokes border kasi adult child sebe;0,100738525;positive
dead ethical disaster candy heart dark jokes;-0,085981369;negative
humorous handsome level men willing;0,08125;positive
oh really ken dark jokes;0,131835938;positive
dark jokes temen expression;0,091125488;positive
dark jokes nsfw different;0,168273926;positive
yesterday read named psbb gang itaeewon hshsha rada dark jokes tautau;0,016790217;positive
please dark jokes ye njeng;0,137744141;positive
dark jokes really laughed afraid of sin;0,049031576;positive
need dark jokes intake;0,016601563;positive
dark jokes dark jokes dark jokes;0,188110352;positive
dark jokes nehhh.;0,125406901;positive
ken using dark jokes afraid to receive local residents;-0,00812149;negative
tweet discuss dark jokes;0,014648438;positive
dark jokes jokes dilakan situation example;0,131713867;positive
carriage tragedy pesawaat becomes canda dark jokes dark jokes kontol abloh;0,037863991;positive
imo realized dark jokes target bulbs;0,096557617;positive
wkwkkwkwkwkwk dark jokes thank you;0,014648438;positive
cancel culture meet dark jokes perfect doommal combo;0,052276611;positive
dki jakarta view is cakep midfielder lift bumn employee example dark jokes;0,004261364;positive
okay dark jokes;0,01953125;positive
dark jokes snap snap status ig i happy i hihi gue its;0,119181315;positive
beside the educational side of the animation entertaining into porn content fields;0,040161133;positive
dark jokes sorry situation;-0,048522949;negative
old dark jokes hazard awkward crazy;-0,01640625;negative
dark jokes hmch.;0,125406901;positive
very crazy cartoon cartoon names cartoon children like brain content;-0,007324219;negative
simple dark jokes tongkrong is pretentious about the community;0,030598958;positive
its a twitter condition on the dark jokes free scope or;0,005208333;positive
dark jokes calm calm believes to pass the passage of oath prayer;0,017969449;positive
dark jokes listen;0,125406901;positive
dark jokes dark jokes tai cats hahahihiin adhan considered;0,097005208;positive
roelz skuk onok maneh dark jokes upin ipin dadi dadi ono sing ndungakno opa death tenan pakese;-0,001692708;negative
dark jokes isayamat;0,125406901;positive
dark jokes dark jokes maen mulu;0,125406901;positive
nahan laughs see dark jokes is difficult;-0,022622742;negative
nahan laughs to see the dark jokes itusulit;0,065918925;positive
dark dark jokes i ngetawain disabled dautau birthdaught kondi;-0,046234131;negative
kriting deserves dark jokes;0,094055176;positive
the plane crashed dark jokes justice warrior angry angry psychologist bhw ket;0,016564109;positive
klau gin steal your jokes shadow;0,0109375;positive
please please use cartoons using pautn;0,112304688;positive
hate dark jokes dark jones tai dog;-0,016566685;negative
dark jokes dont bring connect connect;0,061564128;positive
dark jokes response ngeledekkin;0,109680176;positive
dark jokes dark jokes see dark;0,119711243;positive
dark jokes gasih wkwkkk;0,094055176;positive
dark jokes dark jokes sensitive joke;0,193115234;positive
then your definition dark jokes different than mine then punchline;0,064453125;positive
dark jokes jokes porn jing;0,161181641;positive
think likes dark jokes laughing dark doang;0,013811384;positive
honestly dunno twitter condition now dark;0,049462891;positive
cakeyy knew ngalah dark dark try membe;-0,058053153;negative
dark gas jokes match funny bet;0,058919271;positive
dark jokes enter;0,125406901;positive
right using the dark jokes shield open minded poor phase material;-0,089611971;negative
buy animation of children make before ginian application agry agrood try anim;0,022660065;positive
like lawa dark jokes gasualan negative content says darkjokes evidence like lawa darkjokes;-0,035555753;negative
dark jokes eperiwer.;0,125406901;positive
ngerni dark jokes heart dark fast dead;-0,080226626;negative
maen fb dark jokes variative wrashes lgsg dipandandained;0,007324219;positive
dark jokes consumption dark dark jokes tangent bilajang;0,007965088;positive
beside the educational side of the animation entertain so fields;0,056225586;positive
dark jokes limit to say dark jokes;0,114664714;positive
dark dark jokes;0,001708984;positive
dark jokes asa.;0,125406901;positive
dark jokes anjirr maap;0,094055176;positive
bang dark jokes ngernti jokes nyampe;0,115885417;positive
genuine really funny memes already like to disgust cartoons;0,060928571;positive
drboyke love dark jokes;0,163085938;positive
dark jokes gin.;0,125406901;positive
dark jokes anjingggggggggggggggggggggggggggggggg;0,125406901;positive
exo jokes dark ye brings bring nakereu;0,006452288;positive
funny dark jokes sosmed pretty okay;0,046223958;positive
iyannn dark jokes;0,01953125;positive
anyway circle hanging want to favors dark jokes sometimes ngedark jokes circle;0,104525479;positive
id time comedy if you insist on being dark jokes;0,062703451;positive
dark jokes is a target of hope;0,124328613;positive
heboh dark jokes the pretext of laughing tragedy funny trashage;-0,058105469;negative
dark abuse surgery dark jokes;-0,089599609;negative
dark jokes becomes dressing stupid;-0,007561874;negative
dark jokes momentum fitting funny jerk;0,168986003;positive
yesterday i changed the fair juang social social dark jokes laughing post;0,045068359;positive
dark jokes nderr.;0,125406901;positive
dark jokes hook response;0,109199524;positive
understand dark jokes.;0,083333333;positive
dark jokes info get money results play game games;0,052405877;positive
ooh kieu dark jokes;0,014648438;positive
orng can be worthy of thinking back brought dark jokes;0,107526507;positive
dark jokes came out the wrong place funny kurirgg;-0,026085181;negative
dark jokes funny moments continue anyep;0,080932617;positive
dark jokes dark jokes emang empathy bangsat;0,098563058;positive
abednego dark jokes kuyy;0,014648438;positive
sorry bapen idiiot dark jokes idiot tragedy;-0,126674107;negative
indonesia difficult to accept dark jokes;-0,004541016;negative
dark dark jokes canda dark jokes;0,063557943;positive
soccer dark jokes remember when i eat it with sodara;0,027669271;positive
cloudy afternoon bitch ngetno twitter dark jokes anjir;-0,045410156;negative
top dad jokes dark jokes anjir internal meeting discusses medical apps ngendas;0,069763184;positive
dark jokes bang level new taste of principal comedy he has happy cuckers;0,173455811;positive
account alter twitter yesterday proud dark jokes viral think funny media;0,034667969;positive
the original dark jokes;-0,016927083;negative
tumben dark jokes cok;0,014648438;positive
lose dark jokes;-0,130818685;negative
since msk class of guys jokes im tular dark;0,009277344;positive
kid please wash the dishes dark jokes how come you want to ask;0,05178578;positive
dark jokes its still dark jokes prohibited selera weve sukaya biarin;0,037744141;positive
pot morning morning delicious dark jokes;0,093098958;positive
morning morning dark jokes;0,014648438;positive
canda said dark jokes lek misale dhuwe ps hujat abis;0,037817383;positive
my teacher is dark jokes my teacher is rare im rarely jwb maam;0,042670356;positive
mitified oeang posting group shitpost dark jokes grief;0,013558524;positive
posting group shitpost say heart post dark jokes comments;-0,000142415;negative
my personal friend post content buzzer porn dark jokes sarkashate speech beb;0,049471768;positive
baymax help dark jokes;0,069335938;positive
really dark jokes aka samples;0,168994141;positive
yag gin scolds attack smart understand dark jokes dark joke;0,09855957;positive
honestly say dark comedy is rich when typical jokes msih receives;0,088413239;positive
funny smart jokes;0,322916667;positive
unegunege ws deputy handle ws ora gatel want to type sg let me get a podcast podcast aje dark;-0,011232198;negative
hobby dark jokes;0,01953125;positive
herman wane dining dark jokes;0,075244141;positive
ngapa skr talk must be dir jokes must be dark forced;0,016915458;positive
dark jokes sorrow;0,042073568;positive
sok dark jokes dark jokes no need to take part in the comic of the shadow of the breasts;0,037573242;positive
i rarely enter the liver jokes through the physical ngatain jokes;0,088727679;positive
discussion of expert dark jokes platform split funny;0,093924386;positive
murder attempt very danger account ngtweet rent pmbnh pay kill hb only;-0,095494843;negative
here is dark jokes;0,188110352;positive
unegunege ws deputy handle ws ora gatel want to type sg let me get a podcast podcast aje buangla;0,011961162;positive
dark jokes gin eve twitter sepaneng one ngakak https;0,047027588;positive
dark jokes dark jokes cock cok doang play jokes dark jokes watch it;0,146692912;positive
sane eating dark jokes;0,222961426;positive
dark jokes dark jokes gataau nempatinnya;0,125406901;positive
uhh dark jokes really wants to step on the neck;0,090401786;positive
murder attempt very danger account ngtweet rent pmbnh pay kill hb;-0,0703125;negative
dark jokes exit dark jokes rada tragedy;0,004080636;positive
dark jokes really stupid dark jokes mostly lawa;0,056304932;positive
lgbtq no dark jokes;-0,01953125;negative
dark jokes severe ahahaha;-0,018249512;negative
dark jokes gin hawa twitter sepaneng one ngakak;0,053745815;positive
disaster becomes the material of canda dark jokes name deddy corbuzier stupid;-0,0671875;negative
didik emang receive jugun ianfu romusha becomes content of dark jokes canda;0,035286643;positive
dark jokes night buk has married sleep with ibuk adek ngadep;0,054389106;positive
ppl pls stop become tragedy content content dark jokes opinion help mutligi traffic;-0,039466271;negative
funny dark jokes friend;0,069335938;positive
dark jokes;0,188110352;positive
really dark jokes nye;0,211242676;positive
seamless with your dark jokes way vale;-0,038256836;negative
dark jokes bunian nga;0,094055176;positive
add to the same dark jokes dark jokes dark funny;0,030482701;positive
really dark meatballs my jokes sometimes;0,168994141;positive
dark jokes my mantemans condition;0,01953125;positive
scroll found a cute video funny video dark jokes puzzle neng really yaampun;0,067860921;positive
the mk is not funny ad tangent the dog tangent material hu;0,01171875;positive
dark dind jokes;0,125406901;positive
dark jokes pung pung jokes material punv gathering bawa;0,071316189;positive
favors i admit dark jokes fans;0,142431641;positive
dark jokes tongkrong dishare sosmed caper stupid;0,035330636;positive
dispose of dark jokes place kids yesterday afternoon;0,054863794;positive
yesterday scene fb sorry disabilities candain pretext dark;-0,176757813;negative
laughing dark jokes owned by empathy cok pardiedie;0,044817243;positive
id dark jokes how come its different;0,035157764;positive
dark jokes restless;-0,051676432;negative
facebooks event has no dares to break the disaster in the inner dark jokes inner;0,112109827;positive
dark jokes mbah.;0,125406901;positive
dark jokes tai no brain;0,067687988;positive
dark jokes remember yesterday;0,117004395;positive
join shitpost group meme shitpost dark jokes indonesia link group sdji;0,034201882;positive
really said dark jokes did not receive base gin;0,122065953;positive
set up the background of the dark jokes;0,01953125;positive
even its dark jokes forgiveness nglamin said;0,021809896;positive
until the dark yekan jokes;0,125406901;positive
admit to admit to dark jokes open minded to the landa opinion;-0,05725117;negative
the victims family said families know;-0,00222168;negative
dark jokes falls sriwijaya dark jokes jokes;0,177254949;positive
dark jokes ndasmu.;0,125406901;positive
sinking my friend mending cheating oppakorea husband;0,002644857;positive
brain anjir empathy protected dark jokes kang;-0,0390625;negative
really dark jokes;0,281656901;positive
god closed the disgrace to become a funny dark jokes;-0,009473528;negative
dark jokes mulu end edge;0,078369141;positive
make dark jokes allahu robbi shadow elu kandas family;0,036109925;positive
dark jokes heartache dark because of dark;-0,135693359;negative
gara dheaa dark jokes sensitive bet terap dark jokes place njayy;0,037399119;positive
handpot bring asa dark jokes forgot sorry;-0,033168248;negative
urg weve likes dark jokes dark jokes the victim wretched the aircraft oath urg heart;-0,015981821;negative
ouch see the dark jokes meme eren discrol;0,056501936;positive
like the dark jokes tragedy of the aircraft falling well collected the plane is gathered;-0,009316789;negative
heres the soul of empathy in a bit of a bit of making a jokes of the dark jokes label;0,061039925;positive
dark jokes gobloq jokes;0,201477051;positive
evil dark jokes;-0,162760417;negative
stop dark jokes you children error sintink skli;-0,054321289;negative
inner circle understand dark jokes;0,0625;positive
tragical wretched can be a cute dark joke joke material;-0,055245536;negative
dark jokes dark jokes stupidly likewright dark jokes make it hurt;0,082397461;positive
mc household artist i finished dark jokes;0,062703451;positive
original jokes kids error dark anjir;-0,032348633;negative
not soonsor where twitny dark jokes annoying is not funny;-0,025390625;negative
hhhaa ngrti dark jokes said;0,015136719;positive
hudhi weve ken throwing dark jokes awokawok neatly right right after returning the jokes of people ilang;0,062599046;positive
i search jokes hells funny reaction funny nctzen case jokes really;0,110705566;positive
wrong kaprah name dark jokes alas dark jokes theres;-0,034478082;negative
so the galucuu jokes oath of a shallow brain brain hate me there lost family;-0,050984701;negative
maxd context pretentious dark jokes comika cave;0,017299107;positive
gin dark jokes komika disaster;-0,05078125;negative
considered the aircraft disaster falling yesterday please contact the dark jokes empathy;0,019097995;positive
lopada dark jokes tragedy lost life victims good original tanker;-0,026822364;negative
hina embed dark dark jokes;0,001025391;positive
disaster ngejadin joked alibi dark jokes dance ears terininin pussy;0,02980957;positive
lif since the term dark jokes free of canda still sense;0,002929688;positive
apasii males never likes the core of anut dark jokes;-0,085968018;negative
twiter child dark jokes;0,022460938;positive
meet guys orphan canda dark jokes girls hug original just need hugs bomb nemu;0,015324519;positive
dark jokes garbage;0,146240234;positive
love dark jokes;0,165364583;positive
help the original dark jokes prayer i am emotioning yesterdays news found;9,49436E-05;positive
mmk gausa dark jokes demon gaje sumpa bomb prayer strangely dog;0,019167791;positive
uncle resistant cok resistant dark jokes dripada cute assembly indonesia somasi;-0,008877841;negative
sok dark jokes liat sikon jokes light;0,069754464;positive
jokes aman dark jokes jokes disaster say smart;0,171295166;positive
apasii understand the situation of lower dark jokes ud;0,029017857;positive
become a dark jokes dog dark dog;0,023844401;positive
balbalomba dark jokes berlombalomba stupid miris;-0,065755208;negative
stop warnin hoax fake chat chat wrong victims so;-0,126663208;negative
arek saiki onok disaster dark jokes qntl ancenant;-0,031738281;negative
dark jokes lakalantas.;0,125406901;positive
already attacked alibi dark jokes tai catdah brain diem;0,057281494;positive
since the dark luk jokes yatim;0,014648438;positive
dark jokes tai cat;0,090148926;positive
understandably dark jokes sensitive join tuhgausan heran;0,059326172;positive
ouch dark jokes ngegombal have you lived;0,013671875;positive
since the term dark jokes free of jokes still sense;0,025111607;positive
dark jokes benerbener offensive not funny physical turn off very off;-0,004231864;negative
i delicious meme base emang;0,122085571;positive
disaster dark dark dark jokes west until kyk gin;-0,124511719;negative
jokes aside ndani ndani;0,08203125;positive
afraid of the tastes of the taste of the dark jokes;-0,021484375;negative
aware of dark jokes friends;0,226867676;positive
dark jokes asa bund;0,094055176;positive
darkitit dark jokes dark jokes;0,086962891;positive
rupiah during the incident prayer;-0,010416667;negative
mmmm know ngejokes can dark jokes jokes tyongf;0,071411133;positive
enjoy dark empathy jokes does not available;0,05390625;positive
dark joke cong dark joke canda dilontarin lgsg murn victims;0,072119141;positive
sensitive topic becomes canda mask dark jokes;0,005022321;positive
salty dark jokes what remember the hereafter;0,016015625;positive
weve lau funny sosmed really try the family of the victims of ledekkaga;0,058403863;positive
segregated by playing the dark jokes dark jokes lip lips stupid;0,001654827;positive
msl gabisa jalan nyeletuk jalan jalan forget me gbsa jalan dark jokes;-0,000355114;negative
the name of dark jokes is spoken by ngetawain;0,080712891;positive
msl gabisa road nyeletuk road street forget i gbsa jalan dark jokes tap;0,032002767;positive
the name of dark jokes is spoken by the taste of oran;0,09379069;positive
please understand dark jokes;0,140625;positive
dark jokes bring inner circle bring ordinary;0,060424805;positive
sarra coptic rupah the komen brings bring prayer of religion;0,002197266;positive
life is exercised by the meaning of dark jokes;0,072216797;positive
original dark jokes;-0,016927083;negative
tibang ngarepin books galaga dark jokes dark jokessetan luh;0,035861545;positive
the intention of pretentious dark jokes joined the trend of the same time;0,032924107;positive
news acquakkan gajelas content adds rich people gin dark jokes indah state;0,044145064;positive
dark jokes anti-wilth;0,125406901;positive
dark jokes is emang.;0,125406901;positive
dark dark basic so dark jokes dark;-0,069905599;negative
dark jokes the average cute cringe is really maximum;0,1441476;positive
delicious dark dark except dark jokes;0,026806641;positive
dark jokes syid.;0,125406901;positive
suitable friends i like dark jokes;0,092773438;positive
poser dark jokes emang cringe sihkayak maksaint;-0,02734375;negative
since dark jokes the crazy people become stupid jokes;-0,051339286;negative
bener standup dark jokes;0,014648438;positive
coptic rupiah own bring religion shoat;-0,001367188;negative
dark jokes absorbed it;0,157063802;positive
khakim fate sometimes dark jokes jokes;0,134318034;positive
likes to throw dark jokes;0,10667038;positive
shitprot dysprot children like sok cool use dark jokes;-0,003173828;negative
funny tweet weve dark jokes gin gasuka unfoll ujujung delete tweet;0,008167614;positive
adikadik teaches smpsma taught gangjok gali root;0;neutral
nemus dark jokes gausa content is reported reportmuteblock;0,014229911;positive
bapan mbak mending jokes bring hell clay jokes bring religion;0,035742188;positive
dark jokes funny ironi herini appeal;0,099161784;positive
yaakesel a little drank jks keinget yesterday trendy;0,041666667;positive
my internal coca dark jokes ngasain;0,01484375;positive
sad duka bid dark jokes brain;-0,055989583;negative
sad bastard gin up dark jokes galugu nyet post video as if;-0,064107259;negative
pretext of dark jokes kaya cok parmekek;0,047078451;positive
my internal dark jokes is ngasain;0,018554688;positive
ken dark jokes;0,125406901;positive
dark jokes so sorry im deliberately funny its stupid;-0,070138114;negative
podcas ngelawak dark jokes ngatain nyeleneh brings hope bodo receive risk;0,020846558;positive
the location of the jokes asusemuaa makes dark jokes;0,134324392;positive
mil bales dark jokes;0,013000488;positive
the term dark jokes empathy tengkurlaps base children fuck;0,017585754;positive
made dark jokes disaster can dark;-0,062785339;negative
shitprot disprot children like cool sok used;-0,009114583;negative
dark jokes paan gas paan try tepok hands kenceng cave hand;0,058349609;positive
cih pretentious when the dongo gtw dark jokes is right to be a pretentious jokes;0,097897847;positive
really dark jokes;0,281656901;positive
no dark jokes;-0,029296875;negative
thank you dark jokes dark jokes;0,085644531;positive
no need to feel cool to play a disaster disaster dark jokes;-0,047614943;negative
different can i take it;0,164066314;positive
dark jokes one way imposes to be victim cope situation;0,022513253;positive
indonesia crisis empathy prayer please news basarn;0,034040179;positive
receive condemnation considered dark jokes tangent;0,078282674;positive
likes to catch up until the news of the grief still cant fiks the dark jokes just a jokesin;-0,002612305;negative
progressive price thank dark jokes craft nahas falling field plane;0,057428074;positive
the purpose of the death of the death should be dij;-0,053710938;negative
bang smua dark jokes;0,06640625;positive
cardboard dark jokes;0,01953125;positive
akang qq sometimes ngatain defects;-0,0171875;negative
the victim fell on the plane finished the world of living ngethwit;-0,004464286;negative
dark jokes protection bangle;0,026672363;positive
emang dark offensive jokes;-0,006429199;negative
latah virality name dark jokes;0,0171875;positive
pretentious dark jokes;0,040364583;positive
just hanging person kasi dark jokes thought open casually thought;-0,041473582;negative
dark jokes like sort choose worth kir;0,088745117;positive
oath sometimes looks like using dark jokes;0,043172201;positive
through dark jokes;0,188110352;positive
bl dark jokes for strange people;0,01796875;positive
dark jokes hbd.;0,125406901;positive
honest tweet hurt heartache;-0,098388672;negative
thank you sorry full video check;-0,102148438;negative
after throwing the dark jokes wretched on the plane of the minimal faham time;-0,079141617;negative
rundung waran people ngumpet balik understanding dark jokes klean matiooooo;0,063069661;positive
efbi residents gather erti millennial well jokes;0,059151786;positive
caper dick dark jokes very class;-0,006542969;negative
ken dark jokes the plane fell tacky cute dog cok no need to pretend;0,031360973;positive
emang empathy kyk dark jokes kmrin;-0,000651042;negative
ken dark jokes plane falls noract cute cok dog;0,07262516;positive
tretan muslim cok pardede dark jokes;0,009765625;positive
dark jokes exchange;0,083740234;positive
wiyne hidden dark jokes remember saying funny relative taste different;0,035839844;positive
wait for darkjokes sriwijaya;0;neutral
disaster so jokes is easy to get smart to stupid tires;-0,02069051;negative
yooooooo due to dark jokes;0,032531738;positive
ngakakgak dark jokes learn mbak;0,014453125;positive
entar said that his father was suitable for using dark jokes tumbu;0,075592041;positive
thank you for sorry check the full video of dark;-0,107302437;negative
scroll meet for picti posti;0;neutral
indo bear cave nerima dark jokes nerima;0,053745815;positive
gapapa bapan empathy real leg legal ad;-0,009940011;negative
lets respect the families of the victims of the victims of the condolences are not added;0,035714286;positive
dark jokes funny offensive yak;0,013606641;positive
dark jokes label hina jokes label;0,160359701;positive
true social law sihemg participated in the sematamata;0,028584798;positive
suisad cmn tel raw purposenya serious;-0,030687968;negative
bear iye bang elite dark jokes stupid;0,022234235;positive
preach doesnt have sympathy for empathy too cool to protect back;-0,051757813;negative
clearly turn the grief diinget handpiece use its dark catakata;-0,073486195;negative
stupid man has a cool dark jokes behind dark jokes;0,024727958;positive
bear dark jokes.;0,020874023;positive
bear dark jokes eyes;0,062530518;positive
continues to protect the dark jokes in tangent;-0,06328125;negative
dhea sorry the deceased and family sorry;-0,265625;negative
bear ret bedane dark jokes karo jokes sing raono empathy;0,044140625;positive
examples of agnostics say cool open minded dark jokes thinks forward;0,060229337;positive
bear dark jokes indo sensitive;0,007836914;positive
case life tara mask;-0,001922607;negative
lagak dark jokes jatohnya cringe ew;-0,021484375;negative
maybe its another dark jokes but;0,01953125;positive
dark jokes social situation cute dark jokes garging wraring sumpa;0,080786133;positive
wiex i like dark jokes my jokes dhea okay tapitiming jokes;0,131138393;positive
brain stupid jokes gada thought the funny dark jokes;0,032928467;positive
plis please dark jokes an example of a friend of dakjal gitulos friend;0,05078125;positive
twitter residents like dark jokes;0,014648438;positive
dark jokes dark tweet nunjarin cool anj;0,028250558;positive
think he really pretended to be dark jokes dark jokes try the position of the victims family to make dark jokes;0,108676911;positive
dark jokes dark jokes taiq dog;0,094156901;positive
dhea re-elements of dark jokes are funny;0,117492676;positive
like dark jokes laughing weve when mom;0,162744141;positive
dark jokes gataau report friends promotions pandemic holidays;0,058746338;positive
description of dark jokes is increasingly concerned about bois;0,075724284;positive
rupiah dark jokes trash jokes;0,10390625;positive
initial misclead dark jokes different bik;0,059244792;positive
thank dark jokes to say skip bangerous im really cool;0,030815972;positive
sarcases turn the name dark jokes cuakkk;0,06726092;positive
come here dark jokes is amused by funny enga zz;0,151961182;positive
human four pretentious pretentious dark jokes;0,03671875;positive
pretty cool people like dark jokes sikon;0,083862305;positive
busy forgeting comedy twitter real trash dark trash;-0,034576416;negative
males ngernti dark jokes main twitter cringe bener;0,048980713;positive
lord dark joke chokay pardiedie jokes ente;0,069754464;positive
one join dark jokes kliatan;0,014648438;positive
joke joke bruhh dark jokes protected darkjokes name;0,048828125;positive
kit little alas dark jokes dark jokes dark jokes kujadiin titan din;-0,000284831;negative
invite hell to set up video music shooting;-0,020833333;negative
dark jokes dark jokes make dark jokes relatives jatoh aircraft make leluc;0,094061534;positive
mbakom dark jokes understanding english deserves ordinary hp search science tofu;0,025568182;positive
ommbak dark jokes understand english vice;0,0625;positive
already look at using english subtitle yakarna called dark jokes angry only give;0,019425208;positive
heh mbakom dark jokes deserves the hp search knowledge know sosmed doang;0,064264471;positive
like dark jokes because of the funny dark jokes kesi;0,088094076;positive
jiaaa mbakom dark jokes deserves to think;0,067545573;positive
mbakom dark jokes is appropriate;0,014648438;positive
mbak dark jokes worth try mbak mentok sosmed doang;0,030192057;positive
mbak dark jokes try diligently open google;0,015467831;positive
pretentious dark jokes say cool to consider the caste dark jokes;0,031846788;positive
dark jokes if the cellphone is stuck sosmed bring a human;0,05471829;positive
mostly bocil gangss sok dark jokes funting jokes;0,061035156;positive
normal dark jokes impression sebelirir pdahal polite gada ethics look gituan;0,032315341;positive
tweet dark jokes life brain in the old school;0,02742513;positive
funny jokes like dark humor honest timing;0,144246419;positive
kasi see the girl dark jokes which tragedy of the viewpoint is wrong;-0,110900162;negative
dark jokes dark joke leads to die nggembel kon;0,063926697;positive
dark jokes life protection take skg continue to brit;-0,014586449;negative
gangerti dark jokes return to home cage;0,010253588;positive
please assume ngani ngan dark jokes the situation of the gin condition;-0,001898872;negative
disgusting hohoho alas pas dark jokes clarification deliberately jokes;0,099962023;positive
dark jokes dark jokes boy;0,173925781;positive
no need to be a gangainti dark jokes aying;0,01015625;positive
wiyne debate dark jokes tweet dark jokes how;0,066580636;positive
pretentious dark jokes gin okay;0,02421875;positive
the intention of ngetweet dark jokes clay cool tacky is never educational;-0,023952908;negative
dark doang kaga jokes;0,014648438;positive
grgr understanding dark jokes insensitive when i love disasters;0,049839565;positive
ukhty yahhhh ukhty dark jokes;0,01171875;positive
personal tangent dark jokes dark accept dark jokes joke father;0,077094184;positive
free dark jokes arent kind joke;0,073567708;positive
ngerni dark jokes gas is really a jokes;0,159505208;positive
i like dark jokes how come its different from my stupid cave;0,086671003;positive
bocil bocil titik ig plunges twittard talk about dark jokes ngebecandain airplane jatoh watoh elu wrong;-0,017382813;negative
four so that it becomes a jokes of the victims family;0,1015625;positive
dark jokes think of asa;0,13458252;positive
dark jokes shape sindir example good satisfires pack;0,124995604;positive
darkjokes jokes dar dark funny;0,075244141;positive
mourning when i was worthy of twitt dark twitter;-0,01484375;negative
dark jokes dark jokes black advance rich rawon kuah;0,081388685;positive
dark jokes funny disaster mbak;0,031494141;positive
gapeduli embassy symptoms of depression of sriwijaya depression train dark jokes;-0,056260851;negative
bapankita understands dark jokes he said anyone on the joks;0,081368583;positive
intention of dipping dark jokes clay cool tacky rich in education;0,043863932;positive
dark jokes shape satire example good satright dikem;0,12719287;positive
look at the disaster when its funny;-0,083333333;negative
its already a picture of a photo of the contents of the galugu jokes of the funny dark jokes;0,071533203;positive
funny intention pgn dark jokes goblok looking for the stage;0,019287109;positive
the tip of the turn of the tires up bapan gangerni dark jokes;0,010611398;positive
easy satir dark jokes watch indonesian funny assembly;0,082027435;positive
hell of the dalem line entering heaven twitter line superb cells;0,025714874;positive
save choki need dark jokes;0,118115234;positive
social law is mostly mobilized jokes with funny dogs;0,049107143;positive
sorry family if the intention of the condolences is good for a little dark jokes rich gin;0,002119276;positive
the sad news was divided by dark dark jokes it was angry with the grief;-0,1121521;negative
understand the dark jokes i dont make it;0,05;positive
